,title,original_title,overview,overview_word_count,release_date,release_year,original_language,genres,vote_average,vote_count,popularity
241,Look Back,ルックバック,"Popular, outgoing Fujino is celebrated by her classmates for her funny comics in the class newspaper. One day, her teacher asks her to share the space with Kyomoto, a truant recluse whose beautiful artwork sparks a competitive fervor in Fujino. What starts as jealousy transforms when Fujino realizes their shared passion for drawing.",53,2024-06-28,2024,Japanese,"['Animation', 'Drama']",8.044,422,9.3765
242,Me Against You: Mr. S'S Vendetta,Me contro Te: Il film - La vendetta del Signor S,"A young couple who makes popular YouTube videos for children sets out to win an award, but an evil mastermind stands in the way of their success.",27,2020-01-17,2020,Italian,"['Family', 'Fantasy']",8.0,469,0.5772
243,Lion,Lion,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",39,2016-11-24,2016,English,['Drama'],8.042,6787,4.2429
244,A Special Day,Una giornata particolare,Two neighbours — a persecuted journalist and a resigned housewife — forge a strong bond on the day of Adolf Hitler's historic 1938 visit to Rome.,26,1977-08-11,1977,Italian,"['Drama', 'Romance']",8.042,725,1.875
245,Guillermo Del Toro'S Pinocchio,Guillermo del Toro's Pinocchio,"During the rise of fascism in Mussolini's Italy, a wooden boy brought magically to life struggles to live up to his father's expectations.",23,2022-11-09,2022,English,"['Animation', 'Fantasy', 'Adventure', 'Drama']",8.039,3156,4.1613
246,The Lives Of Others,Das Leben der Anderen,"In 1984 East Berlin, dedicated Stasi officer Gerd Wiesler begins spying on a famous playwright and his actress-lover Christa-Maria. Wiesler becomes unexpectedly sympathetic to the couple, and faces conflicting loyalties when his superior takes a liking to Christa-Maria.",38,2006-03-23,2006,German,"['Drama', 'Thriller']",8.037,3911,3.1441
247,Transformers One,Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but once were friends bonded like brothers who changed the fate of Cybertron forever.",28,2024-09-11,2024,English,"['Animation', 'Science Fiction', 'Adventure', 'Family']",8.035,1418,11.6896
248,Along With The Gods: The Two Worlds,신과함께-죄와 벌,"Having died unexpectedly, firefighter Ja-hong is taken to the afterlife by 3 afterlife guardians. Only when he passes 7 trials over 49 days and proves he was innocent in human life, he’s able to reincarnate, and his 3 afterlife guardians are by his side to defend him in trial.",49,2017-12-20,2017,Korean,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Thriller']",8.036,1129,6.6628
249,How To Train Your Dragon: Homecoming,How to Train Your Dragon: Homecoming,"It's been ten years since the dragons moved to the Hidden World, and even though Toothless doesn't live in New Berk anymore, Hiccup continues the holiday traditions he once shared with his best friend. But the Vikings of New Berk were beginning to forget about their friendship with dragons. Hiccup, Astrid, and Gobber know just what to do to keep the dragons in the villagers' hearts. And across the sea, the dragons have a plan of their own...",78,2019-12-03,2019,English,"['Animation', 'Fantasy', 'Adventure', 'Action', 'Family']",8.0,1067,4.569
250,The Grand Budapest Hotel,The Grand Budapest Hotel,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",66,2014-02-26,2014,English,"['Comedy', 'Drama']",8.0,15506,6.0184
251,The Second Mother,Que Horas Ela Volta?,"After leaving her daughter Jessica in a small town in Pernambuco to be raised by relatives, Val spends the next 13 years working as a nanny to Fabinho in São Paulo. She has financial stability but has to live with the guilt of having not raised Jessica herself. As Fabinho’s university entrance exams approach, Jessica reappears in her life and seems to want to give her mother a second chance. However, Jessica has not been raised to be a servant and her very existence will turn Val’s routine on its head. With precision and humour, the subtle and powerful forces that keep rigid class structures in place and how the youth may just be the ones to shake it all up.",121,2015-06-04,2015,Portuguese,['Drama'],8.032,761,1.3517
252,My Name Is Khan,My Name Is Khan,"Rizwan Khan, a Muslim from the Borivali section of Mumbai, has Asperger's syndrome. He marries a Hindu single mother, Mandira, in San Francisco. After 9/11, Rizwan is detained by authorities at LAX who treat him as a terrorist because of his condition and his race.",45,2010-02-10,2010,Hindi,"['Drama', 'Romance']",8.0,1377,3.0271
253,Believe Me: The Abduction Of Lisa Mcvey,Believe Me: The Abduction of Lisa McVey,"On the night she plans on taking her own life, 17-year-old 'Lisa McVey' is kidnapped and finds herself fighting to stay alive and is raped. She manages to talk her attacker into releasing her, but when she returns home, no one believes her story except for one detective, who suspects she was abducted by a serial killer. Based on horrifying true events.",62,2018-09-30,2018,English,"['Drama', 'TV Movie', 'Crime']",8.031,666,4.7168
254,The Young And The Damned,Los olvidados,"A group of juvenile delinquents live a violent life in the infamous slums of Mexico City; among them Pedro, whose morality is gradually corrupted and destroyed by the others.",29,1950-12-09,1950,Spanish,"['Drama', 'Crime']",8.03,511,4.0505
255,Late Spring,晩春,"Noriko is perfectly happy living at home with her widowed father, Shukichi, and has no plans to marry -- that is, until her aunt Masa convinces Shukichi that unless he marries off his 27-year-old daughter soon, she will likely remain alone for the rest of her life. When Noriko resists Masa's matchmaking, Shukichi is forced to deceive his daughter and sacrifice his own happiness to do what he believes is right.",71,1949-09-13,1949,Japanese,['Drama'],8.028,446,5.1557
256,The Wolf Of Wall Street,The Wolf of Wall Street,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",29,2013-12-25,2013,English,"['Crime', 'Drama', 'Comedy']",8.027,25130,22.0583
257,Amadeus,Amadeus,Disciplined Italian composer Antonio Salieri becomes consumed by jealousy and resentment towards the hedonistic and remarkably talented young Salzburger composer Wolfgang Amadeus Mozart.,23,1984-09-19,1984,English,"['History', 'Music', 'Drama']",8.026,4529,6.599
258,Bo Burnham: Make Happy,Bo Burnham: Make Happy,"Combining his trademark wit and self-deprecating humor with original music, Bo Burnham offers up his unique twist on life in this stand-up special about life, death, sexuality, hypocrisy, mental illness and Pringles cans.",33,2016-06-03,2016,English,"['Comedy', 'Music']",8.024,412,3.0077
259,On My Skin,Sulla mia pelle,"The incredible true story behind the most controversial Italian court cases in recent years. Stefano Cucchi was arrested for a minor crime and mysteriously found dead during his detention. In one week's time, a family is changed forever.",38,2018-09-12,2018,Italian,['Drama'],8.022,1871,2.8496
260,Paper Lives,Kağıttan Hayatlar,"In the streets of Istanbul, ailing waste warehouse worker Mehmet takes a small boy under his wing and must soon confront his own traumatic childhood.",25,2021-03-12,2021,Turkish,['Drama'],8.021,398,1.4086
261,The 400 Blows,Les Quatre Cents Coups,"For young Parisian boy Antoine Doinel, life is one difficult situation after another. Surrounded by inconsiderate adults, including his neglectful parents, Antoine spends his days with his best friend, Rene, trying to plan for a better life. When one of their schemes goes awry, Antoine ends up in trouble with the law, leading to even more conflicts with unsympathetic authority figures.",61,1959-06-03,1959,French,['Drama'],8.0,2243,3.337
262,The Sting,The Sting,A novice con man teams up with an acknowledged master to avenge the murder of a mutual friend by pulling off the ultimate big con and swindling a fortune from a big-time mobster.,33,1973-12-25,1973,English,"['Comedy', 'Crime', 'Drama']",8.0,2791,4.3874
263,"Rome, Open City",Roma città aperta,"In WWII-era Rome, underground resistance leader Manfredi attempts to evade the Gestapo by enlisting the help of Pina, the fiancée of a fellow member of the resistance, and Don Pietro, the priest due to oversee her marriage. But it’s not long before the Nazis and the local police find him.",50,1945-10-08,1945,Italian,"['Drama', 'War']",8.019,940,3.4745
264,"Veinteañera, Divorciada Y Fantástica","Veinteañera, divorciada y fantástica","Regina, our young protagonist, always dreamed of getting married. And she did it - but the dream lasted much less than she thought and now she has to face life in a very funny way as a divorcee.",38,2020-02-14,2020,Spanish,['Comedy'],8.0,390,1.2964
265,Judgment At Nuremberg,Judgment at Nuremberg,"In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.",64,1961-12-18,1961,English,"['Drama', 'History']",8.018,877,4.1476
266,For A Few Dollars More,Per qualche dollaro in più,"Two bounty hunters both pursue the brutal and sadistic bandit, El Indio, who has a large bounty on his head.",20,1965-12-18,1965,Italian,['Western'],8.0,4245,4.8773
267,Ayla: The Daughter Of War,Ayla,"In 1950, amidst the ravages of the Korean War, Sergeant Süleyman stumbles upon a a half-frozen little girl, with no parents and no help in sight and he risks his own life to save her, smuggling her into his army base and out of harm’s way.",46,2017-10-27,2017,Turkish,"['Drama', 'War', 'History']",8.0,379,3.3227
268,Ne Zha 2,哪吒之魔童闹海,"After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.",57,2025-01-29,2025,Chinese,"['Animation', 'Fantasy', 'Adventure', 'Action']",8.015,437,40.3265
